"","Num_conv_gt_1.05","Num_conv_gt_1.1","Num_conv_gt_1.2","Num_conv_gt_1.5","Num_conv_gt_2","Num_params"
"Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;_1",1,0,0,0,0,60
"Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Curvibacter;_1",0,0,0,0,0,60
"Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Rhodoferax;koreense;_1",49,2,0,0,0,60
"Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Weeksellaceae;Chryseobacterium;_1",0,0,0,0,0,60
"Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiaceae;Pseudochrobactrum;_1",11,1,0,0,0,60
"Bacteria;Firmicutes;Bacilli;Lactobacillales;Aerococcaceae;Aerococcus;_1",0,0,0,0,0,60
"Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Brevibacteriaceae;Brevibacterium;_1",0,0,0,0,0,60
"Bacteria;Cyanobacteria;Cyanobacteriia;Chloroplast;_31",1,1,0,0,0,60
"Bacteria;Cyanobacteria;Cyanobacteriia;Chloroplast;_34",0,0,0,0,0,60
"Bacteria;Actinobacteriota;Actinobacteria;Frankiales;Sporichthyaceae;hgcI_clade;_1",52,8,0,0,0,60
"Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;_13",0,0,0,0,0,60
"Bacteria;Firmicutes;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus;_1",0,0,0,0,0,60
"Bacteria;Cyanobacteria;Cyanobacteriia;Chloroplast;_13",29,3,1,0,0,60
"Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;_14",0,0,0,0,0,60
"Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;_24",2,1,1,0,0,60
"Bacteria;Patescibacteria;Gracilibacteria;_1",2,2,1,0,0,60
"Bacteria;Actinobacteriota;Actinobacteria;Frankiales;Sporichthyaceae;hgcI_clade;_2",2,2,2,0,0,60
"Bacteria;Verrucomicrobiota;Verrucomicrobiae;Chthoniobacterales;Chthoniobacteraceae;Chthoniobacter;_8",0,0,0,0,0,60
"Bacteria;Actinobacteriota;Actinobacteria;Frankiales;Sporichthyaceae;hgcI_clade;_8",1,1,1,1,0,60
"Bacteria;Actinobacteriota;Actinobacteria;Frankiales;Geodermatophilaceae;Blastococcus;_1",0,0,0,0,0,60
"Bacteria;Actinobacteriota;Actinobacteria;Frankiales;Nakamurellaceae;Nakamurella;_1",1,1,0,0,0,60
"Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;T34;_1",2,2,1,0,0,60
"Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhodomicrobiaceae;Rhodomicrobium;_1",1,0,0,0,0,60
"Bacteria;Cyanobacteria;Cyanobacteriia;Chloroplast;_49",1,0,0,0,0,60
"Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;Mitochondria;_23",1,0,0,0,0,60
"Bacteria;Proteobacteria;Alphaproteobacteria;Acetobacterales;Acetobacteraceae;Roseomonas;_2",0,0,0,0,0,60
"Bacteria;Verrucomicrobiota;Verrucomicrobiae;Pedosphaerales;Pedosphaeraceae;_3",60,4,1,0,0,60
"Bacteria;Cyanobacteria;Cyanobacteriia;Synechococcales;Cyanobiaceae;Cyanobium_PCC-6307;_1",1,0,0,0,0,60
"Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Microbacteriaceae;Candidatus_Planktoluna;_3",56,6,1,0,0,60
"Other",1,1,1,0,0,60
