"","Num_conv_gt_1.05","Num_conv_gt_1.1","Num_conv_gt_1.2","Num_conv_gt_1.5","Num_conv_gt_2","Num_params"
"Bacteria;Firmicutes;Bacilli;Lactobacillales;Aerococcaceae;Aerococcus;_1",0,0,0,0,0,69
"Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Brevibacteriaceae;Brevibacterium;_1",39,12,0,0,0,69
"Bacteria;Cyanobacteria;Cyanobacteriia;Chloroplast;_31",65,58,7,0,0,69
"Bacteria;Cyanobacteria;Cyanobacteriia;Chloroplast;_34",8,0,0,0,0,69
"Bacteria;Actinobacteriota;Actinobacteria;Frankiales;Sporichthyaceae;hgcI_clade;_1",24,14,4,3,0,69
"Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;_13",0,0,0,0,0,69
"Bacteria;Firmicutes;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus;_1",4,0,0,0,0,69
"Bacteria;Cyanobacteria;Cyanobacteriia;Chloroplast;_13",37,20,14,3,2,69
"Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;_14",6,1,0,0,0,69
"Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;_24",11,5,0,0,0,69
"Bacteria;Patescibacteria;Gracilibacteria;_1",15,10,10,0,0,69
"Bacteria;Actinobacteriota;Actinobacteria;Frankiales;Sporichthyaceae;hgcI_clade;_2",10,9,9,0,0,69
"Bacteria;Verrucomicrobiota;Verrucomicrobiae;Chthoniobacterales;Chthoniobacteraceae;Chthoniobacter;_8",13,11,2,0,0,69
"Bacteria;Actinobacteriota;Actinobacteria;Frankiales;Sporichthyaceae;hgcI_clade;_8",0,0,0,0,0,69
"Bacteria;Actinobacteriota;Actinobacteria;Frankiales;Geodermatophilaceae;Blastococcus;_1",1,1,1,0,0,69
"Bacteria;Actinobacteriota;Actinobacteria;Frankiales;Nakamurellaceae;Nakamurella;_1",9,9,0,0,0,69
"Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;T34;_1",21,15,11,0,0,69
"Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhodomicrobiaceae;Rhodomicrobium;_1",13,3,0,0,0,69
"Bacteria;Cyanobacteria;Cyanobacteriia;Chloroplast;_49",12,6,0,0,0,69
"Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;Mitochondria;_23",59,54,1,0,0,69
"Bacteria;Proteobacteria;Alphaproteobacteria;Acetobacterales;Acetobacteraceae;Roseomonas;_2",9,1,1,0,0,69
"Bacteria;Verrucomicrobiota;Verrucomicrobiae;Pedosphaerales;Pedosphaeraceae;_3",29,5,2,0,0,69
"Bacteria;Cyanobacteria;Cyanobacteriia;Synechococcales;Cyanobiaceae;Cyanobium_PCC-6307;_1",5,1,0,0,0,69
"Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Microbacteriaceae;Candidatus_Planktoluna;_3",24,12,4,0,0,69
"Other",10,9,5,0,0,69
