"","Age1","Age2","LM","Site","Week1","Week2","Week3","Week4","Age1:LM","Age2:LM","Age1:Site","Age2:Site","LM:Site","Age1:Week1","Age2:Week1","Age1:Week2","Age2:Week2","Age1:Week3","Age2:Week3","Age1:Week4","Age2:Week4","LM:Week1","LM:Week2","LM:Week3","LM:Week4","Site:Week1","Site:Week2","Site:Week3","Site:Week4","Age1:LM:Site","Age2:LM:Site","Age1:LM:Week1","Age2:LM:Week1","Age1:LM:Week2","Age2:LM:Week2","Age1:LM:Week3","Age2:LM:Week3","Age1:LM:Week4","Age2:LM:Week4","Age1:Site:Week1","Age2:Site:Week1","Age1:Site:Week2","Age2:Site:Week2","Age1:Site:Week3","Age2:Site:Week3","Age1:Site:Week4","Age2:Site:Week4","LM:Site:Week1","LM:Site:Week2","LM:Site:Week3","LM:Site:Week4","Age1:LM:Site:Week1","Age2:LM:Site:Week1","Age1:LM:Site:Week2","Age2:LM:Site:Week2","Age1:LM:Site:Week3","Age2:LM:Site:Week3","Age1:LM:Site:Week4","Age2:LM:Site:Week4","Stratum"
"Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Flavobacterium;_2",0.381536,0.444396,0.415562666666667,0.656022666666667,0.349314666666667,0.507133333333333,0.40374,0.431122666666667,0.415556,0.477754666666667,0.423561333333333,0.442625333333333,0.407789333333333,0.437630666666667,0.434036,0.422644,0.432696,0.435633333333333,0.431618666666667,0.431012,0.435353333333333,0.446185333333333,0.423205333333333,0.457402666666667,0.433,0.426272,0.651692,0.425485333333333,0.45154,0.436610666666667,0.435568,0.452354666666667,0.431697333333333,0.443713333333333,0.43534,0.436065333333333,0.437318666666667,0.438874666666667,0.436177333333333,0.493028,0.436833333333333,0.436777333333333,0.441553333333333,0.445282666666667,0.436113333333333,0.435049333333333,0.437814666666667,0.497869333333333,0.436828,0.453944,0.437138666666667,0.440901333333333,0.438382666666667,0.445536,0.436342666666667,0.436933333333333,0.438168,0.439056,0.436769333333333,0.864253333333333
"Bacteria;Cyanobacteria;Cyanobacteriia;Chloroplast;_20",0.263185333333333,0.207693333333333,0.193332,0.983938666666667,0.409990666666667,0.317553333333333,0.304049333333333,0.248401333333333,0.242612,0.224182666666667,0.267018666666667,0.243486666666667,0.218184,0.257166666666667,0.252612,0.262062666666667,0.277954666666667,0.262726666666667,0.274081333333333,0.286036,0.264434666666667,0.287886666666667,0.254733333333333,0.261489333333333,0.266473333333333,0.355214666666667,0.26684,0.276046666666667,0.261961333333333,0.244949333333333,0.248932,0.249374666666667,0.261790666666667,0.270204,0.267808,0.270354666666667,0.266802666666667,0.2642,0.2662,0.256373333333333,0.260962666666667,0.263888,0.263661333333333,0.263198666666667,0.265944,0.268777333333333,0.264868,0.265492,0.259557333333333,0.263430666666667,0.263182666666667,0.259213333333333,0.262086666666667,0.264058666666667,0.264365333333333,0.264932,0.264728,0.26462,0.265112,0.0133386666666666
"Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;Mitochondria;_3",0.192181333333333,0.123714666666667,0.644130666666667,0.0861626666666667,0.165881333333333,0.112569333333333,0.122202666666667,0.128532,0.161985333333333,0.164182666666667,0.139498666666667,0.122228,0.12388,0.122809333333333,0.150658666666667,0.13142,0.133510666666667,0.132070666666667,0.136108,0.134924,0.137364,0.183497333333333,0.146270666666667,0.154197333333333,0.134796,0.113154666666667,0.123057333333333,0.136165333333333,0.134177333333333,0.125085333333333,0.148662666666667,0.15452,0.138916,0.138690666666667,0.137670666666667,0.137442666666667,0.13848,0.140050666666667,0.138317333333333,0.12954,0.132729333333333,0.132274666666667,0.137314666666667,0.137409333333333,0.137014666666667,0.137982666666667,0.138865333333333,0.125401333333333,0.132976,0.137213333333333,0.138482666666667,0.136728,0.136572,0.135850666666667,0.138256,0.137884,0.138905333333333,0.138712,0.139589333333333,0.003216
"Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Rhodoferax;_1",0.167812,0.279253333333333,0.181269333333333,0.155489333333333,0.569384,0.255472,0.568317333333333,0.341252,0.436094666666667,0.262206666666667,0.281709333333333,0.309773333333333,0.251424,0.234818666666667,0.297713333333333,0.348265333333333,0.296648,0.295208,0.310601333333333,0.297998666666667,0.311429333333333,0.317473333333333,0.311684,0.307577333333333,0.315206666666667,0.516952,0.487830666666667,0.345836,0.398033333333333,0.408841333333333,0.299485333333333,0.307558666666667,0.298748,0.294982666666667,0.316438666666667,0.326804,0.305558666666667,0.30516,0.313585333333333,0.283298666666667,0.301625333333333,0.303428,0.303362666666667,0.310068,0.308585333333333,0.305648,0.310076,0.749805333333333,0.297581333333333,0.377630666666667,0.31082,0.308373333333333,0.309930666666667,0.314949333333333,0.309848,0.310745333333333,0.310290666666667,0.311289333333333,0.310861333333333,0.00086
"Bacteria;Proteobacteria;Gammaproteobacteria;Aeromonadales;Aeromonadaceae;Aeromonas;_2",0.182544,0.0862813333333333,0.088616,0.0787306666666667,0.093968,0.086756,0.0847053333333333,0.0848426666666667,0.085036,0.0918906666666667,0.135608,0.0856413333333334,0.0860973333333333,0.0868666666666667,0.0903426666666667,0.0872293333333333,0.0880973333333334,0.0873666666666667,0.0881386666666667,0.0876506666666666,0.08748,0.08348,0.0853413333333333,0.0874306666666667,0.0871853333333334,0.0987546666666666,0.0841813333333333,0.0861173333333333,0.0861733333333333,0.0859226666666667,0.0884786666666667,0.0880866666666667,0.0881426666666666,0.0885266666666667,0.0875666666666667,0.0875466666666666,0.0879613333333333,0.0880973333333334,0.087628,0.0866533333333333,0.088452,0.0878546666666667,0.088064,0.087336,0.0878133333333333,0.0878826666666666,0.0876653333333334,0.088912,0.086976,0.087596,0.0876213333333333,0.0869213333333333,0.0878813333333334,0.0879866666666667,0.0881106666666667,0.087572,0.0879226666666667,0.0877506666666667,0.088136,0.120145333333333
"Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter;_1",0.310281333333333,0.364541333333333,0.302793333333333,0.566706666666667,0.425602666666667,0.329788,0.617872,0.3751,0.344436,0.370249333333333,0.344833333333333,0.370078666666667,0.332232,0.360557333333333,0.422070666666667,0.543713333333333,0.386070666666667,0.381942666666667,0.410984,0.41098,0.393705333333333,0.330093333333333,0.364150666666667,0.368676,0.392176,0.437802666666667,0.369450666666667,0.54114,0.382485333333333,0.368214666666667,0.382164,0.391734666666667,0.384408,0.379541333333333,0.407084,0.406096,0.391561333333333,0.389348,0.397116,0.373738666666667,0.408198666666667,0.456222666666667,0.38866,0.386933333333333,0.402485333333333,0.405054666666667,0.392244,0.372034666666667,0.386517333333333,0.386066666666667,0.397452,0.398161333333333,0.388172,0.387090666666667,0.398934666666667,0.400310666666667,0.391908,0.3915,0.393897333333333,1
"Bacteria;Firmicutes;Negativicutes;Veillonellales-Selenomonadales;Selenomonadaceae;Zymophilus;_1",0.027104,0.0170066666666667,0.0427373333333334,0.0189293333333333,0.0155346666666667,0.0161386666666667,0.0161573333333333,0.0163213333333333,0.0173186666666667,0.0258306666666667,0.018784,0.0194853333333333,0.0175773333333333,0.0177133333333333,0.0190546666666667,0.0169866666666667,0.0179613333333333,0.0172173333333333,0.0176453333333333,0.0171053333333333,0.0180053333333333,0.0171426666666667,0.017652,0.0172506666666667,0.0175466666666667,0.0179853333333333,0.017584,0.016948,0.0173706666666667,0.018892,0.0181186666666667,0.0186626666666667,0.0179533333333333,0.0177306666666667,0.018016,0.0180426666666667,0.0181493333333333,0.0176493333333333,0.0178533333333333,0.0194626666666667,0.0179706666666667,0.0175666666666667,0.018028,0.0180253333333333,0.0178733333333333,0.0176,0.018076,0.0183013333333333,0.0177786666666667,0.017916,0.0176693333333333,0.0175773333333333,0.0177813333333333,0.01798,0.017948,0.017904,0.0179973333333333,0.0178146666666667,0.017992,0.00319066666666667
"Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;_7",0.002548,0.00337333333333333,0.003272,0.00251866666666667,0.00239466666666666,0.00528933333333333,0.003052,0.00438933333333334,0.00305466666666667,0.00358266666666667,0.00286666666666667,0.00317066666666667,0.002904,0.005884,0.00348533333333334,0.00342533333333333,0.00516133333333333,0.00507466666666666,0.00380666666666667,0.00362933333333333,0.00436,0.00332533333333333,0.00550666666666667,0.00366533333333333,0.00436,0.002856,0.003532,0.003428,0.00363066666666667,0.00346266666666666,0.00341733333333334,0.004816,0.00405733333333333,0.00390266666666667,0.00465333333333333,0.00470666666666667,0.00418133333333333,0.003912,0.00420666666666667,0.00336533333333333,0.00366,0.00361466666666667,0.00368933333333333,0.003584,0.003832,0.00372666666666667,0.00393866666666667,0.00371733333333333,0.003508,0.00388933333333334,0.00383733333333333,0.00356133333333333,0.003764,0.00393733333333333,0.003824,0.003876,0.00385866666666667,0.00393866666666667,0.0039,0.000982666666666667
"Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Burkholderiaceae;Polynucleobacter;difficilis;_1",0.293184,0.164313333333333,0.169552,1,0.113450666666667,0.172073333333333,0.159341333333333,0.192104,0.215910666666667,0.237345333333333,0.170529333333333,0.191596,0.166416,0.162868,0.186184,0.172321333333333,0.210352,0.213949333333333,0.208772,0.202078666666667,0.241966666666667,0.244994666666667,0.166953333333333,0.229566666666667,0.203212,0.156373333333333,0.670744,0.237909333333333,0.406917333333333,0.221113333333333,0.206773333333333,0.186797333333333,0.212846666666667,0.214589333333333,0.216816,0.207932,0.23292,0.233156,0.226148,0.220301333333333,0.227690666666667,0.293685333333333,0.221782666666667,0.243198666666667,0.260484,0.278748,0.226730666666667,0.341905333333333,0.192897333333333,0.305730666666667,0.216016,0.215476,0.223597333333333,0.229685333333333,0.235852,0.239890666666667,0.228841333333333,0.230197333333333,0.233596,1.06666666666667e-05
"Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;_1",0.570076,0.239696,0.374125333333333,0.525004,0.166092,0.304986666666667,0.233993333333333,0.308224,0.246265333333333,0.325290666666667,0.449646666666667,0.402009333333333,0.471776,0.216577333333333,0.243958666666667,0.243305333333333,0.266629333333333,0.279701333333333,0.266862666666667,0.270278666666667,0.274709333333333,0.216333333333333,0.246624,0.247266666666667,0.261125333333333,0.216565333333333,0.248814666666667,0.248934666666667,0.270597333333333,0.28462,0.273866666666667,0.249909333333333,0.254761333333333,0.256336,0.263936,0.263285333333333,0.266394666666667,0.266125333333333,0.266817333333333,0.237249333333333,0.254070666666667,0.254437333333333,0.262849333333333,0.267488,0.268345333333333,0.267629333333333,0.269533333333333,0.240230666666667,0.256790666666667,0.258156,0.26532,0.262556,0.262842666666667,0.261752,0.266629333333333,0.265804,0.26648,0.266530666666667,0.267414666666667,0.0589853333333334
"Bacteria;Cyanobacteria;Cyanobacteriia;Chloroplast;_61",0.184337333333333,0.229638666666667,0.186950666666667,0.172070666666667,0.505693333333333,0.189318666666667,0.235154666666667,0.195438666666667,0.213472,0.201577333333333,0.235256,0.188006666666667,0.168262666666667,0.194861333333333,0.193945333333333,0.196476,0.192292,0.193942666666667,0.195710666666667,0.197028,0.196829333333333,0.188517333333333,0.188037333333333,0.193413333333333,0.195246666666667,0.336468,0.2693,0.222330666666667,0.212144,0.1888,0.193725333333333,0.193456,0.19556,0.195242666666667,0.195784,0.195152,0.196685333333334,0.195692,0.197386666666667,0.195568,0.196412,0.197474666666667,0.195974666666667,0.198150666666667,0.196877333333333,0.197138666666666,0.197250666666667,0.186169333333333,0.190794666666667,0.196241333333334,0.195541333333334,0.193810666666667,0.195672,0.196257333333333,0.196790666666667,0.196358666666667,0.196502666666666,0.196454666666667,0.196345333333333,0.0573533333333333
"Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter;_2",0.654213333333333,0.309489333333333,0.29318,0.2914,0.542665333333333,0.302178666666667,0.366509333333333,0.321432,0.315624,0.321096,0.320614666666667,0.311218666666667,0.303273333333333,0.30676,0.332452,0.328901333333333,0.318316,0.316577333333333,0.323212,0.321781333333333,0.32162,0.31382,0.311534666666667,0.319486666666667,0.318153333333333,0.320904,0.309765333333333,0.314682666666667,0.317585333333333,0.323442666666667,0.318082666666667,0.316316,0.318072,0.319433333333333,0.320096,0.320341333333333,0.321286666666667,0.321041333333333,0.320993333333333,0.314006666666667,0.321192,0.320488,0.319465333333333,0.319344,0.322150666666667,0.319272,0.321876,0.340133333333333,0.316573333333333,0.330152,0.321005333333333,0.318366666666667,0.322488,0.321873333333333,0.320872,0.320004,0.321842666666667,0.321974666666667,0.321337333333333,0.554549333333333
"Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter;_3",0.0504146666666666,0.0391493333333333,0.034476,0.029128,0.0579266666666667,0.0395373333333333,0.060312,0.047648,0.0516573333333333,0.0430186666666667,0.0450306666666667,0.041056,0.0430706666666667,0.040608,0.050252,0.0566866666666667,0.0440173333333333,0.045844,0.0492826666666667,0.0552333333333333,0.046212,0.05586,0.0399106666666667,0.046656,0.0428066666666667,0.038088,0.0393973333333333,0.0412653333333333,0.04226,0.052376,0.0437226666666667,0.0411013333333333,0.045748,0.0458413333333333,0.0448826666666667,0.0441773333333333,0.0456613333333333,0.0452813333333333,0.045648,0.0414573333333333,0.045428,0.0439333333333333,0.0446186666666667,0.0442346666666667,0.0456226666666667,0.0452586666666667,0.045572,0.114624,0.0425146666666667,0.128964,0.0453493333333333,0.04326,0.0477933333333333,0.0542546666666667,0.0455706666666667,0.0458026666666667,0.0472173333333333,0.05152,0.0465506666666667,0.018708
"Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Flavobacterium;terrigena;_1",0.620248,0.273748,0.278104,0.755344,0.181666666666667,0.265572,0.247424,0.252742666666667,0.236393333333333,0.265612,0.511182666666667,0.484889333333333,0.286397333333333,0.22268,0.329089333333333,0.341905333333333,0.267193333333333,0.259973333333333,0.32024,0.298916,0.276181333333333,0.200778666666667,0.276306666666667,0.240682666666667,0.272436,0.214908,0.249130666666667,0.25868,0.263317333333333,0.287710666666667,0.27234,0.280372,0.266077333333333,0.260784,0.286890666666667,0.283717333333333,0.279416,0.275322666666667,0.282376,0.249484,0.304449333333333,0.311202666666667,0.279185333333333,0.269146666666667,0.296236,0.287138666666667,0.280382666666667,0.229637333333333,0.269692,0.260962666666667,0.275569333333333,0.275001333333333,0.278124,0.274301333333333,0.282182666666667,0.279229333333333,0.282545333333333,0.278441333333333,0.280665333333333,0.1043
"Bacteria;Actinobacteriota;Actinobacteria;Frankiales;Sporichthyaceae;_1",0.157316,0.199421333333333,0.139569333333333,0.949316,0.140037333333333,0.285338666666667,0.217062666666667,0.251553333333333,0.224478666666667,0.200826666666667,0.265165333333333,0.239766666666667,0.372233333333333,0.214229333333333,0.222902666666667,0.208816,0.251885333333333,0.237437333333333,0.247702666666667,0.246958666666667,0.252948,0.220257333333333,0.21366,0.253136,0.273798666666667,0.318912,0.293929333333333,0.785605333333333,0.333265333333333,0.230913333333333,0.319013333333333,0.218934666666667,0.239945333333333,0.239232,0.249182666666667,0.255993333333333,0.254646666666667,0.255214666666667,0.262662666666667,0.287228,0.252288,0.306988,0.258505333333333,0.263073333333333,0.27592,0.300356,0.259370666666667,0.223888,0.245566666666667,0.245562666666667,0.26056,0.272164,0.258896,0.251726666666667,0.258202666666667,0.257349333333333,0.258690666666667,0.257548,0.260562666666667,0.129526666666667
"Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Erwiniaceae;Pantoea;_1",0.047916,0.06042,0.0666133333333333,0.0360106666666667,0.035672,0.061628,0.060176,0.0983653333333333,0.066408,0.0801666666666666,0.0538573333333333,0.099788,0.0821613333333334,0.091536,0.0731213333333333,0.068024,0.136862666666667,0.0999133333333334,0.0906466666666666,0.078716,0.169142666666667,0.15122,0.0684693333333333,0.196205333333333,0.0850386666666666,0.050152,0.065168,0.0814386666666667,0.083336,0.151796,0.0896773333333333,0.0817226666666667,0.169573333333333,0.233054666666667,0.103590666666667,0.0943413333333333,0.198785333333333,0.178757333333333,0.103052,0.082848,0.0972386666666666,0.087324,0.104284,0.0926706666666667,0.101689333333333,0.0957173333333333,0.106056,0.559197333333333,0.194944,0.197936,0.110608,0.162445333333333,0.143870666666667,0.121172,0.118766666666667,0.122113333333333,0.110774666666667,0.108630666666667,0.108397333333333,0.00178533333333333
