"Set","Model","Stratum","Age","LM","Site","Week1","Week2","Age:LM","Age:Site","LM:Site","Age:Week1","Age:Week2","LM:Week1","LM:Week2","Site:Week1","Site:Week2","Age:LM:Site","Age:LM:Week1","Age:LM:Week2","Age:Site:Week1","Age:Site:Week2","LM:Site:Week1","LM:Site:Week2","Age:LM:Site:Week1","Age:LM:Site:Week2","Num_Rhats_gt_1.05","Num_Eff_SS_ls_100","Num_params","Run_Time","WAIC"
"7","7",1,1,1,1,0,0,1,1,1,0,0,1,0,1,1,1,1,0,1,1,1,1,1,1,0,0,2829,"2 hrs, 59 min, 1 sec",140157.320419519
"7","8",1,1,1,1,0,0,1,1,1,0,0,1,0,1,1,1,0,1,1,1,1,1,1,1,0,0,2829,"2 hrs, 57 min, 55 sec",140220.249746783
"7","9",1,1,1,1,0,0,1,1,1,0,0,1,0,1,1,0,1,1,1,1,1,1,1,1,0,0,2829,"3 hrs, 7 min, 8 sec",140231.752053259
"7","10",1,1,1,1,0,0,1,1,1,0,0,1,0,1,0,1,1,1,1,1,1,1,1,1,0,0,2829,"3 hrs, 9 min, 29 sec",140184.62419221
"7","11",1,1,1,1,0,0,1,1,1,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,2829,"2 hrs, 55 min, 30 sec",140178.987720777
"7","12",1,1,1,1,0,0,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,2829,"3 hrs, 1 min, 40 sec",140223.239914479
"7","13",1,1,1,1,0,0,1,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,2829,"2 hrs, 56 min, 28 sec",140210.351851099
"7","14",1,1,1,1,0,0,1,0,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,2829,"2 hrs, 58 min, 24 sec",140229.649294659
"7","15",1,1,1,1,0,0,0,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,2829,"3 hrs, 4 min, 27 sec",140210.208461918
"7","16",1,1,1,0,0,0,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,2829,"3 hrs, 5 min, 47 sec",140204.019090926
"7","17",1,1,0,1,0,0,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,2829,"3 hrs, 1 min, 27 sec",140223.648664437
"7","18",1,0,1,1,0,0,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,2829,"3 hrs, 3 min, 39 sec",140175.770561535
"7","19",0,1,1,1,0,0,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1921,"2 hrs, 20 min, 34 sec",140584.798086084
"8","1",1,1,1,1,0,0,1,1,1,0,0,1,0,1,1,1,1,0,1,1,1,1,1,0,0,0,2728,"2 hrs, 56 min, 47 sec",140171.371667007
"8","2",1,1,1,1,0,0,1,1,1,0,0,1,0,1,1,1,1,0,1,1,1,1,0,1,0,0,2728,"3 hrs, 1 min, 42 sec",140142.200535361
"8","3",1,1,1,1,0,0,1,1,1,0,0,1,0,1,1,1,1,0,1,1,1,0,1,1,0,0,2728,"2 hrs, 58 min, 18 sec",140178.004913188
"8","4",1,1,1,1,0,0,1,1,1,0,0,1,0,1,1,1,1,0,1,1,0,1,1,1,0,0,2728,"2 hrs, 59 min, 47 sec",140150.585722259
"8","5",1,1,1,1,0,0,1,1,1,0,0,1,0,1,1,1,1,0,1,0,1,1,1,1,0,0,2728,"3 hrs, 1 min, 3 sec",140114.383199649
"8","6",1,1,1,1,0,0,1,1,1,0,0,1,0,1,1,1,1,0,0,1,1,1,1,1,0,0,2728,"2 hrs, 54 min, 43 sec",140223.586489174
"8","7",1,1,1,1,0,0,1,1,1,0,0,1,0,1,1,1,0,0,1,1,1,1,1,1,0,0,2728,"2 hrs, 58 min, 40 sec",140177.260415045
"8","8",1,1,1,1,0,0,1,1,1,0,0,1,0,1,1,0,1,0,1,1,1,1,1,1,0,0,2728,"3 hrs, 2 min, 21 sec",140180.587164904
"8","9",1,1,1,1,0,0,1,1,1,0,0,1,0,1,0,1,1,0,1,1,1,1,1,1,0,0,2728,"3 hrs, 0 min, 32 sec",140150.056466022
"8","10",1,1,1,1,0,0,1,1,1,0,0,1,0,0,1,1,1,0,1,1,1,1,1,1,0,0,2728,"3 hrs, 0 min, 38 sec",140123.893397745
"8","11",1,1,1,1,0,0,1,1,1,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,0,0,2728,"2 hrs, 54 min, 35 sec",140247.611664043
"8","12",1,1,1,1,0,0,1,1,0,0,0,1,0,1,1,1,1,0,1,1,1,1,1,1,0,1,2728,"2 hrs, 56 min, 22 sec",140161.10672321
"8","13",1,1,1,1,0,0,1,0,1,0,0,1,0,1,1,1,1,0,1,1,1,1,1,1,0,0,2728,"2 hrs, 56 min, 40 sec",140202.746657343
"8","14",1,1,1,1,0,0,0,1,1,0,0,1,0,1,1,1,1,0,1,1,1,1,1,1,0,0,2728,"2 hrs, 50 min, 24 sec",140169.040760401
"8","15",1,1,1,0,0,0,1,1,1,0,0,1,0,1,1,1,1,0,1,1,1,1,1,1,0,0,2728,"2 hrs, 52 min, 6 sec",140180.845772896
"8","16",1,1,0,1,0,0,1,1,1,0,0,1,0,1,1,1,1,0,1,1,1,1,1,1,0,0,2728,"3 hrs, 1 min, 41 sec",140175.918332097
"8","17",1,0,1,1,0,0,1,1,1,0,0,1,0,1,1,1,1,0,1,1,1,1,1,1,0,0,2728,"3 hrs, 1 min, 0 sec",140127.464746631
"8","18",0,1,1,1,0,0,1,1,1,0,0,1,0,1,1,1,1,0,1,1,1,1,1,1,0,0,1820,"2 hrs, 20 min, 34 sec",140542.405071752
"9","1",1,1,1,1,0,0,1,1,1,0,0,1,0,1,1,1,1,0,1,0,1,1,1,0,0,0,2627,"2 hrs, 47 min, 32 sec",140213.748407506
"9","2",1,1,1,1,0,0,1,1,1,0,0,1,0,1,1,1,1,0,1,0,1,1,0,1,0,0,2627,"3 hrs, 0 min, 41 sec",140074.291422479
