"Type","Date","Site","Age","LM","Taxon","Quantile_0.025","Quantile_0.25","Quantile_0.5","Quantile_0.75","Quantile_0.975"
"Salamander","2018-06-30","Gibson Lakes","Age-1","Metamorphosed","NonInhibitory",0.010506292942649,0.0187749392818151,0.0248947454349025,0.0325150558220949,0.0519745348113959
"Salamander","2018-06-30","Gibson Lakes","Age-1","Metamorphosed","Uncertain",0.595514917480823,0.690186934688327,0.728939106115635,0.766689193762945,0.830923802884054
"Salamander","2018-06-30","Gibson Lakes","Age-2+","Metamorphosed","Inhibitory",0.0628684495223511,0.0914515308803477,0.109967119192079,0.129942081388091,0.17589644955289
"Salamander","2018-06-30","Gibson Lakes","Age-2+","Metamorphosed","NonInhibitory",0.0129833473279457,0.0206764929686039,0.0260496695422468,0.0324599777801916,0.0475221260400885
"Salamander","2018-06-30","Gibson Lakes","Age-2+","Metamorphosed","Uncertain",0.797572827282327,0.841656319142861,0.862830142674768,0.882391536955431,0.912544126133752
"Salamander","2018-07-07","Ponds Lake","Age-1","Larvae/Neotene","Inhibitory",0.0467100519522164,0.0569689993811819,0.0628610369101676,0.0686343694025146,0.0822709753517308
"Salamander","2018-07-07","Ponds Lake","Age-1","Larvae/Neotene","NonInhibitory",0.0195611991157668,0.0243444369263811,0.0271462467993937,0.0302279799622381,0.0365685032678927
"Salamander","2018-07-07","Ponds Lake","Age-1","Larvae/Neotene","Uncertain",0.88802883740987,0.903218565454042,0.909884857049696,0.916516334807565,0.927799838452365
"Salamander","2018-07-07","Ponds Lake","Age-2+","Larvae/Neotene","Inhibitory",0.0304995739215519,0.0501702985978096,0.0641516095790112,0.0810065135838525,0.12116379882392
"Salamander","2018-07-07","Ponds Lake","Age-2+","Larvae/Neotene","NonInhibitory",0.0108141915955223,0.0197285788047026,0.0258250977111683,0.0343519975509858,0.0529742715446674
"Salamander","2018-07-07","Ponds Lake","Age-2+","Larvae/Neotene","Uncertain",0.847493195319153,0.889408578202205,0.907846714458823,0.923129630901626,0.946766659962844
"Salamander","2018-07-07","Ponds Lake","Age-2+","Metamorphosed","Inhibitory",0.0632025557385861,0.0825573365694545,0.0952634410471941,0.108135192003064,0.135004415774582
"Salamander","2018-07-07","Ponds Lake","Age-2+","Metamorphosed","NonInhibitory",0.0137875635447086,0.0192363817161087,0.0226955197851508,0.0272210832978253,0.0372330038797739
"Salamander","2018-07-07","Ponds Lake","Age-2+","Metamorphosed","Uncertain",0.840177602487964,0.868134647554662,0.881446576561901,0.893999789181622,0.915292618199192
"Salamander","2018-07-14","Gibson Lakes","Age-2+","Metamorphosed","Inhibitory",0.0443284248684953,0.0742947427929388,0.0968332964791715,0.121216399853756,0.172975066990665
"Salamander","2018-07-14","Gibson Lakes","Age-2+","Metamorphosed","NonInhibitory",0.00934803010444135,0.0184332967956908,0.0246739198792767,0.0333798917245327,0.0565132127006676
"Salamander","2018-07-14","Gibson Lakes","Age-2+","Metamorphosed","Uncertain",0.795573353016169,0.850525378573243,0.875874669587001,0.898951571551286,0.932410925617196
"Salamander","2018-07-28","Ponds Lake","Age-1","Larvae/Neotene","Inhibitory",0.0553509425861913,0.0720944879967599,0.0821594322865467,0.0950683893189051,0.121391146526786
"Salamander","2018-07-28","Ponds Lake","Age-1","Larvae/Neotene","NonInhibitory",0.0176192762663648,0.0240578222086835,0.0279841360809773,0.0326095309296442,0.0437600522846854
"Salamander","2018-07-28","Ponds Lake","Age-1","Larvae/Neotene","Uncertain",0.847461569112986,0.875771189510814,0.88883623468288,0.899895850585885,0.918281768903008
"Salamander","2018-07-28","Ponds Lake","Age-2+","Metamorphosed","Inhibitory",0.0398265114473752,0.0611766757699424,0.0737571197606152,0.0890909177579882,0.125058082904778
"Salamander","2018-07-28","Ponds Lake","Age-2+","Metamorphosed","NonInhibitory",0.011945739702031,0.0194892697587291,0.0242062657128741,0.0303106275659928,0.0447876560034889
"Salamander","2018-07-28","Ponds Lake","Age-2+","Metamorphosed","Uncertain",0.845674478894074,0.884200679058555,0.899964290234851,0.915426575643691,0.938884753208444
"Salamander","2018-08-04","Gibson Lakes","Age-0","Larvae/Neotene","Inhibitory",0.0313592241568107,0.0397606697618818,0.0446609019687643,0.0498461565418028,0.0617083153147954
"Salamander","2018-08-04","Gibson Lakes","Age-0","Larvae/Neotene","NonInhibitory",0.0140845343197468,0.0184733369745876,0.0211713369942714,0.0242087501130954,0.0305018474138011
"Salamander","2018-08-04","Gibson Lakes","Age-0","Larvae/Neotene","Uncertain",0.914653465232656,0.927843519260362,0.933733700998997,0.939696834564751,0.949522708044803
"Salamander","2018-08-11","Ponds Lake","Age-0","Larvae/Neotene","Inhibitory",0.0367385678132267,0.0478847960687327,0.0543861988255382,0.0621028501034642,0.0789097229963245
"Salamander","2018-08-11","Ponds Lake","Age-0","Larvae/Neotene","NonInhibitory",0.0153550782492589,0.020252601025021,0.0237667921271974,0.0274980859058922,0.0368327619138884
"Salamander","2018-08-11","Ponds Lake","Age-0","Larvae/Neotene","Uncertain",0.893633064111653,0.912821792708251,0.921612738426187,0.928986811236382,0.942239724014475
"Salamander","2018-08-11","Ponds Lake","Age-1","Larvae/Neotene","Inhibitory",0.0549120735079679,0.0766852418361637,0.0909419183470719,0.105390613048059,0.142273159266675
"Salamander","2018-08-11","Ponds Lake","Age-1","Larvae/Neotene","NonInhibitory",0.0160258251268001,0.023294596365156,0.0278664615919504,0.0332706577970963,0.0474511614456193
"Salamander","2018-08-11","Ponds Lake","Age-1","Larvae/Neotene","Uncertain",0.82754216367593,0.864498813411906,0.880462358525042,0.895142807136911,0.91797844146805
"Salamander","2018-08-11","Ponds Lake","Age-2+","Metamorphosed","Inhibitory",0.0158702987739369,0.0399900689690214,0.0579090580040385,0.083221952696805,0.146741479935506
"Salamander","2018-08-11","Ponds Lake","Age-2+","Metamorphosed","NonInhibitory",0.00611498026672567,0.0149792190179973,0.0228254872330568,0.0336209984219509,0.0655862168040665
