"Set","Model","Stratum","Age","LM","Site","Week1","Week2","Age:LM","Age:Site","LM:Site","Age:Week1","Age:Week2","LM:Week1","LM:Week2","Site:Week1","Site:Week2","Age:LM:Site","Age:LM:Week1","Age:LM:Week2","Age:Site:Week1","Age:Site:Week2","LM:Site:Week1","LM:Site:Week2","Age:LM:Site:Week1","Age:LM:Site:Week2","Num_Rhats_gt_1.05","Num_Eff_SS_ls_100","Num_params","Run_Time","WAIC"
"5","14",0,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,2123,"3 hrs, 53 min, 24 sec",121397.699418835
"5","15",0,0,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,2123,"3 hrs, 56 min, 48 sec",121441.828775793
"5","16",0,0,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,2123,"3 hrs, 57 min, 2 sec",121441.152660261
"5","17",0,0,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,2123,"3 hrs, 49 min, 26 sec",121360.473370662
"5","18",0,0,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,2123,"3 hrs, 38 min, 22 sec",121429.64347993
"5","19",0,0,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,2123,"3 hrs, 46 min, 57 sec",121418.948816198
"5","20",0,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,2123,"3 hrs, 49 min, 57 sec",121393.440320318
"5","21",0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,2123,"3 hrs, 52 min, 2 sec",121469.220979066
"6","1",0,0,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,2022,"3 hrs, 44 min, 24 sec",121356.666711577
"6","2",0,0,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,0,2022,"3 hrs, 45 min, 6 sec",121393.32376457
"6","3",0,0,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,2022,"3 hrs, 45 min, 54 sec",121380.229039185
"6","4",0,0,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0,0,2022,"3 hrs, 47 min, 45 sec",121364.002976415
"6","5",0,0,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,0,0,2022,"3 hrs, 41 min, 15 sec",121358.118820597
"6","6",0,0,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,0,2022,"3 hrs, 41 min, 23 sec",121384.218839585
"6","7",0,0,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0,0,2022,"3 hrs, 33 min, 6 sec",121342.217736999
"6","8",0,0,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0,0,2022,"3 hrs, 36 min, 10 sec",121309.474392763
"6","9",0,0,1,1,1,1,0,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,0,2022,"3 hrs, 39 min, 31 sec",121395.822855562
"6","10",0,0,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0,0,2022,"3 hrs, 43 min, 43 sec",121355.746732626
"6","11",0,0,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,2022,"3 hrs, 36 min, 23 sec",121380.945503836
"6","12",0,0,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,2022,"3 hrs, 49 min, 38 sec",121391.034249281
"6","13",0,0,1,1,1,1,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,2022,"3 hrs, 47 min, 19 sec",121430.88557844
"6","14",0,0,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,2022,"3 hrs, 41 min, 45 sec",121365.218066853
"6","15",0,0,1,1,1,1,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,2022,"3 hrs, 46 min, 39 sec",121413.111953632
"6","16",0,0,1,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,2022,"3 hrs, 35 min, 10 sec",121417.152753225
"6","17",0,0,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,2022,"3 hrs, 38 min, 20 sec",121343.659025884
"6","18",0,0,1,1,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,2022,"3 hrs, 35 min, 20 sec",121376.63743771
"6","19",0,0,1,0,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,2022,"3 hrs, 43 min, 9 sec",121371.78896076
"6","20",0,0,0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,2022,"3 hrs, 48 min, 55 sec",121358.683522142
"7","1",0,0,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,0,0,1921,"3 hrs, 34 min, 48 sec",121307.377308196
"7","2",0,0,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,0,0,1921,"3 hrs, 45 min, 26 sec",121384.539710558
"7","3",0,0,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,1,0,0,1921,"3 hrs, 46 min, 20 sec",121324.406966714
"7","4",0,0,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,0,1921,"3 hrs, 43 min, 14 sec",121328.78767213
"7","5",0,0,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,1,0,0,1921,"3 hrs, 35 min, 32 sec",121354.268058041
"7","6",0,0,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,1,1,0,0,1921,"3 hrs, 36 min, 53 sec",121348.82053857
"7","7",0,0,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,0,0,1921,"3 hrs, 39 min, 16 sec",121345.370754196
"7","8",0,0,1,1,1,1,0,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,0,0,1921,"3 hrs, 37 min, 44 sec",121387.739722623
"7","9",0,0,1,1,1,1,0,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,0,0,1921,"3 hrs, 38 min, 17 sec",121362.731118842
"7","10",0,0,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,0,0,1921,"3 hrs, 30 min, 32 sec",121377.898382191
"7","11",0,0,1,1,1,1,0,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,1,1,0,0,1921,"3 hrs, 33 min, 43 sec",121353.696084194
"7","12",0,0,1,1,1,1,0,1,1,1,0,1,0,1,1,1,0,1,1,1,1,1,1,1,0,0,1921,"3 hrs, 32 min, 45 sec",121340.710806698
"7","13",0,0,1,1,1,1,0,1,1,0,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0,0,1921,"3 hrs, 35 min, 33 sec",121307.819498456
"7","14",0,0,1,1,1,1,0,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0,0,1921,"3 hrs, 36 min, 1 sec",121341.823350036
"7","15",0,0,1,1,1,1,0,0,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0,0,1921,"3 hrs, 45 min, 42 sec",121389.517218366
"7","16",0,0,1,1,1,0,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0,0,1921,"3 hrs, 37 min, 52 sec",121334.545702072
"7","17",0,0,1,1,0,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0,0,1921,"3 hrs, 37 min, 54 sec",121354.901975052
"7","18",0,0,1,0,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0,0,1921,"3 hrs, 37 min, 6 sec",121320.471029209
"7","19",0,0,0,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0,0,1921,"3 hrs, 40 min, 44 sec",121361.84632677
