"Type","Date","Site","Age","LM","Taxon","Quantile_0.025","Quantile_0.25","Quantile_0.5","Quantile_0.75","Quantile_0.975"
"Salamander","2018-08-11","Ponds Lake","Age-0","Larvae/Neotene","NonInhibitory",0.0110022245238398,0.0138379438298143,0.0153110826292715,0.0168447062884702,0.0200840247121273
"Salamander","2018-08-11","Ponds Lake","Age-0","Larvae/Neotene","Inhibitory",0.0489851461987372,0.0584818671018648,0.0635429752554503,0.068531040864319,0.0800148678208142
"Salamander","2018-08-11","Ponds Lake","Age-0","Larvae/Neotene","Other",0.0219485731805476,0.0262933615649489,0.0288704564595155,0.031515703742296,0.0363787316602978
"Salamander","2018-08-11","Ponds Lake","Age-1","Larvae/Neotene","Uncertain",0.789943361916184,0.809926073411218,0.820284501132299,0.830937065147329,0.850943939560902
"Salamander","2018-08-11","Ponds Lake","Age-1","Larvae/Neotene","NonInhibitory",0.0164126776172238,0.0201216511245582,0.0222096441881831,0.0245760873564067,0.029675681195117
"Salamander","2018-08-11","Ponds Lake","Age-1","Larvae/Neotene","Inhibitory",0.0937392591441733,0.108690850540626,0.117488193978903,0.126354227420482,0.143477413844191
"Salamander","2018-08-11","Ponds Lake","Age-1","Larvae/Neotene","Other",0.0319483495533303,0.036696804325175,0.0394657371286471,0.0421502004245457,0.0472267262845021
"Salamander","2018-08-11","Ponds Lake","Age-2+","Metamorphosed","Uncertain",0.845266634024048,0.87311259735923,0.884992092742662,0.89630560088234,0.915094810441378
"Salamander","2018-08-11","Ponds Lake","Age-2+","Metamorphosed","NonInhibitory",0.00901642640386435,0.0131142186205778,0.0160468687378251,0.0193686757139002,0.0276455332025688
"Salamander","2018-08-11","Ponds Lake","Age-2+","Metamorphosed","Inhibitory",0.0509973441064757,0.064559865088413,0.0731380007205251,0.0827174165979148,0.10558020090543
"Salamander","2018-08-11","Ponds Lake","Age-2+","Metamorphosed","Other",0.016656786588301,0.0216846183342457,0.0246190564334026,0.0280254765936527,0.0359845884578848
"Salamander","2018-08-18","Gibson Lakes","Age-0","Larvae/Neotene","Uncertain",0.842714811090893,0.855739490350546,0.862580645571238,0.869016536780433,0.881887401373509
