"","2.5%","25%","50%","75%","97.5%"
"PropInhib[41]",0.119192334999433,0.204124508925993,0.264140166475356,0.342160055173704,0.548492324532193
"PropInhib[42]",0.0624107935192572,0.120432660808708,0.162912508064504,0.221134217061582,0.411556128169507
"PropInhib[43]",0.0601675096036912,0.116486493183423,0.157561144885463,0.213981503017333,0.401372218533095
"PropInhib[44]",0.0374459244879137,0.0745631231917434,0.10097711368545,0.134272694140748,0.245083541842133
"PropInhib[45]",0.0451932735920472,0.0897582407829521,0.121455205579243,0.16292651866801,0.300390425731513
"PropInhib[46]",0.0544977386782468,0.106744632499313,0.143777160643682,0.19278726028848,0.352459221006728
"PropInhib[47]",0.0634283747966989,0.122960822382299,0.165173800769123,0.221290454489791,0.395004845924246
"PropInhib[48]",0.0497377265860832,0.0978015866328182,0.132737174479736,0.18054744960052,0.359353727947469
"PropInhib[49]",0.0754317174673858,0.14234640088719,0.190002666580627,0.253210288554537,0.442167991746571
"PropInhib[50]",0.0764526318201214,0.143365302432442,0.190443691981613,0.252538523833307,0.436859549370765
"PropInhib[51]",0.0988547518921425,0.176452505578523,0.230814955546975,0.302426963638385,0.501070754179885
"PropInhib[52]",0.0503331897359681,0.099464973748614,0.134473763571707,0.180315273247205,0.332421460915491
"PropInhib[53]",0.194576967011922,0.287866810927645,0.353279666104991,0.433580914662247,0.629399357237993
"PropInhib[54]",0.0774096126225143,0.145331276218345,0.19438232120045,0.261115792138221,0.461842676569817
"PropInhib[55]",0.031579759637504,0.0640528847364482,0.086707724962089,0.114786166972222,0.195149449899216
"PropInhib[56]",0.0530092762089035,0.104944594285519,0.142298271248291,0.19240480743455,0.363073191278145
"PropInhib[57]",0.0369694476260583,0.0743770839674615,0.10065726023521,0.133911056782493,0.237953385348984
"beta0",-5.82524151184491,-4.48573578013723,-3.89155427236163,-3.3745645484194,-2.5286349183723
"betaInhib",-3.38605799991496,-2.71881035893111,-2.40186707101373,-2.10775867249405,-1.58627843414491
"phi",1.1040213398635,1.47647006056994,1.73650097657917,2.06177061939156,2.93241122612175
