"Taxon","ProbabilityOfBdInhibition"
"Bacteria;Planctomycetota;Planctomycetes;Pirellulales;Pirellulaceae;_101",0.5144
"Bacteria;Proteobacteria;Alphaproteobacteria;Acetobacterales;Acetobacteraceae;_40",0.5052
"Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolineaceae;Leptolinea;_24",0.4944
"Bacteria;Planctomycetota;Planctomycetes;Pirellulales;Pirellulaceae;Pir1_lineage;_18",0.5108
"Bacteria;Proteobacteria;Gammaproteobacteria;Competibacterales;Competibacteraceae;Candidatus_Contendobacter;_2",0.4954
"Bacteria;Sva0485;_59",0.4836
"Bacteria;Planctomycetota;Planctomycetes;Pirellulales;Pirellulaceae;_102",0.4856
"Bacteria;Chloroflexi;Anaerolineae;Caldilineales;Caldilineaceae;_32",0.4918
"Bacteria;Proteobacteria;Gammaproteobacteria;Methylococcales;Methylomonadaceae;Methylomonas;_8",0.4976
"Bacteria;Verrucomicrobiota;Verrucomicrobiae;Methylacidiphilales;Methylacidiphilaceae;_16",0.4916
"Bacteria;Planctomycetota;Planctomycetes;Pirellulales;Pirellulaceae;_103",0.4918
"Bacteria;Desulfobacterota;Desulfomonilia;Desulfomonilales;Desulfomonilaceae;Desulfomonile;_8",0.517
"Bacteria;Myxococcota;Polyangia;Haliangiales;Haliangiaceae;Haliangium;_26",0.5058
"Bacteria;Gemmatimonadota;Gemmatimonadetes;Gemmatimonadales;Gemmatimonadaceae;_23",0.5044
"Bacteria;Verrucomicrobiota;Chlamydiae;Chlamydiales;Parachlamydiaceae;Candidatus_Protochlamydia;_5",0.5096
"Bacteria;Verrucomicrobiota;Chlamydiae;Chlamydiales;Parachlamydiaceae;Neochlamydia;_1",0.489
"Bacteria;Bacteroidota;Bacteroidia;Cytophagales;Cyclobacteriaceae;_3",0.5118
"Bacteria;Proteobacteria;Gammaproteobacteria;Methylococcales;Methylomonadaceae;Crenothrix;_24",0.4902
"Bacteria;Chloroflexi;Anaerolineae;ADurb.Bin180;_6",0.508
"Bacteria;Planctomycetota;Phycisphaerae;Tepidisphaerales;WD2101_soil_group;_22",0.4934
"Bacteria;Acidobacteriota;Subgroup_18;_68",0.4986
"Bacteria;WPS-2;_11",0.4962
"Bacteria;Cyanobacteria;Cyanobacteriia;Chloroplast;_153",0.504
"Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;SC-I-84;_46",0.4942
"Bacteria;Bacteroidota;Kryptonia;Kryptoniales;BSV26;_69",0.5002
"Bacteria;Chloroflexi;KD4-96;_76",0.5024
"Bacteria;Proteobacteria;Alphaproteobacteria;Dongiales;Dongiaceae;Dongia;_2",0.4918
"Bacteria;Actinobacteriota;Thermoleophilia;Gaiellales;_80",0.4948
"Bacteria;Planctomycetota;Phycisphaerae;Tepidisphaerales;Tepidisphaeraceae;_1",0.5096
"Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas;sediminicola;_1",0.5014
"Bacteria;Cyanobacteria;Cyanobacteriia;Leptolyngbyales;Leptolyngbyaceae;JSC-12;_8",0.4894
"Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Plot4-2H12;_2",0.5022
"Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prolixibacteraceae;BSV13;_17",0.5122
"Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Gallionellaceae;_3",0.4936
"Bacteria;Proteobacteria;Alphaproteobacteria;Acetobacterales;Acetobacteraceae;_41",0.4956
"Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolineaceae;_206",0.5002
"Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Gallionellaceae;_4",0.5052
"Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Hyphomicrobiaceae;Pedomicrobium;_3",0.4972
"Bacteria;Desulfobacterota;Desulfuromonadia;Geobacterales;Geobacteraceae;_10",0.4998
"Bacteria;Actinobacteriota;Actinobacteria;Frankiales;_8",0.4936
"Bacteria;Latescibacterota;_69",0.4922
"Bacteria;Chloroflexi;Dehalococcoidia;_8",0.507
"Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiales_Incertae_Sedis;Bauldia;_9",0.501
"Bacteria;Actinobacteriota;Thermoleophilia;Gaiellales;_81",0.495
"Bacteria;Actinobacteriota;Acidimicrobiia;_18",0.4948
"Bacteria;Chloroflexi;Dehalococcoidia;S085;_7",0.4884
"Bacteria;Actinobacteriota;Acidimicrobiia;IMCC26256;_37",0.5032
"Bacteria;Myxococcota;Polyangia;Haliangiales;Haliangiaceae;Haliangium;_27",0.4906
"Bacteria;Verrucomicrobiota;Verrucomicrobiae;Verrucomicrobiales;Verrucomicrobiaceae;Roseimicrobium;_3",0.4984
"Bacteria;Proteobacteria;Gammaproteobacteria;Legionellales;Legionellaceae;Legionella;_57",0.4954
"Bacteria;Sva0485;_60",0.5002
"Bacteria;Verrucomicrobiota;Verrucomicrobiae;Chthoniobacterales;Chthoniobacteraceae;_10",0.4958
"Bacteria;Bacteroidota;Bacteroidia;Sphingobacteriales;Lentimicrobiaceae;_25",0.4944
"Bacteria;Cyanobacteria;Vampirivibrionia;Obscuribacterales;Obscuribacteraceae;_8",0.5046
"Bacteria;Planctomycetota;Planctomycetes;Gemmatales;Gemmataceae;Gemmata;_12",0.4926
"Bacteria;Actinobacteriota;Thermoleophilia;Solirubrobacterales;67-14;_26",0.5006
"Bacteria;Verrucomicrobiota;Verrucomicrobiae;Chthoniobacterales;Chthoniobacteraceae;LD29;_9",0.4986
"Bacteria;Patescibacteria;Parcubacteria;Candidatus_Zambryskibacteria;_6",0.5044
"Bacteria;Acidobacteriota;Holophagae;Subgroup_7;_31",0.5038
"Bacteria;Sva0485;_61",0.506
"Bacteria;Myxococcota;Polyangia;mle1-27;_3",0.4972
"Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidetes_BD2-2;_7",0.501
"Bacteria;Modulibacteria;Moduliflexia;Moduliflexales;Moduliflexaceae;_6",0.494
"Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolineaceae;_207",0.4986
"Bacteria;Sva0485;_62",0.4882
"Bacteria;Myxococcota;Polyangia;VHS-B3-70;_2",0.4854
"Bacteria;Planctomycetota;Planctomycetes;Pirellulales;Pirellulaceae;_105",0.4984
"Bacteria;FCPU426;_15",0.5022
"Bacteria;Actinobacteriota;Actinobacteria;Propionibacteriales;Nocardioidaceae;Nocardioides;_11",0.4982
"Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;_1",0.5022
"Bacteria;Planctomycetota;Phycisphaerae;Tepidisphaerales;WD2101_soil_group;_23",0.4926
"Bacteria;Proteobacteria;Alphaproteobacteria;Defluviicoccales;Defluviicoccaceae;Defluviicoccus;_24",0.5096
"Bacteria;Planctomycetota;Planctomycetes;Isosphaerales;Isosphaeraceae;_45",0.4986
"Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolineaceae;_208",0.5
"Bacteria;Planctomycetota;Planctomycetes;Planctomycetales;Gimesiaceae;_2",0.5104
"Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Hyphomonadaceae;SWB02;_3",0.4968
"Bacteria;Cyanobacteria;Cyanobacteriia;Leptolyngbyales;Leptolyngbyaceae;JSC-12;_9",0.4878
"Bacteria;Myxococcota;Polyangia;Polyangiales;Polyangiaceae;Pajaroellobacter;_20",0.4968
"Bacteria;Proteobacteria;Gammaproteobacteria;KI89A_clade;_4",0.4914
"Bacteria;Acidobacteriota;Subgroup_18;_69",0.4972
"Bacteria;Acidobacteriota;Thermoanaerobaculia;Thermoanaerobaculales;Thermoanaerobaculaceae;TPD-58;_4",0.494
"Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;SC-I-84;_47",0.5028
"Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Aquabacterium;_1",0.4922
"Bacteria;Acidobacteriota;Vicinamibacteria;Subgroup_17;_30",0.5076
"Bacteria;Actinobacteriota;Acidimicrobiia;IMCC26256;_38",0.4914
"Bacteria;Bdellovibrionota;Oligoflexia;Oligoflexales;Oligoflexales_fa;Oligoflexus;_3",0.4902
"Bacteria;Planctomycetota;Planctomycetes;Pirellulales;Pirellulaceae;_106",0.493
"Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Xanthobacteraceae;_39",0.4942
"Bacteria;Verrucomicrobiota;Verrucomicrobiae;Chthoniobacterales;Xiphinematobacteraceae;Candidatus_Xiphinematobacter;_10",0.509
"Bacteria;Spirochaetota;Spirochaetia;Spirochaetales;Spirochaetaceae;_13",0.5006
"Bacteria;Nitrospinota;P9X2b3D02;_9",0.493
"Bacteria;Chloroflexi;JG30-KF-CM66;_13",0.5004
"Bacteria;WS2;_4",0.5026
"Bacteria;Planctomycetota;Planctomycetes;Pirellulales;Pirellulaceae;_107",0.5062
"Bacteria;Desulfobacterota;Desulfobacteria;Desulfatiglandales;Desulfatiglandaceae;Desulfatiglans;_6",0.504
"Bacteria;Planctomycetota;Phycisphaerae;Tepidisphaerales;WD2101_soil_group;_24",0.5014
"Bacteria;Planctomycetota;Planctomycetes;Gemmatales;Gemmataceae;_54",0.4978
"Bacteria;Myxococcota;Polyangia;Polyangiales;Phaselicystidaceae;Phaselicystis;_1",0.5014
"Bacteria;Desulfobacterota;Syntrophia;Syntrophales;Syntrophaceae;Syntrophus;_26",0.5018
"Bacteria;Actinobacteriota;WCHB1-81;_4",0.503
"Bacteria;Verrucomicrobiota;Verrucomicrobiae;Pedosphaerales;Pedosphaeraceae;_67",0.5026
"Bacteria;Myxococcota;Polyangia;Haliangiales;Haliangiaceae;Haliangium;_28",0.494
"Bacteria;_100",0.503
"Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;Phenylobacterium;conjunctum;_1",0.5022
"Bacteria;Planctomycetota;Planctomycetes;Gemmatales;Gemmataceae;_55",0.5068
"Bacteria;Actinobacteriota;Coriobacteriia;OPB41;_22",0.5086
"Bacteria;Planctomycetota;Planctomycetes;Gemmatales;Gemmataceae;_56",0.4914
"Bacteria;Verrucomicrobiota;Omnitrophia;Omnitrophales;_2",0.495
"Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;KF-JG30-B3;_2",0.4908
"Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolineaceae;RBG-16-58-14;_41",0.5094
"Bacteria;Planctomycetota;Planctomycetes;Gemmatales;Gemmataceae;Gemmata;_13",0.4972
"Bacteria;Verrucomicrobiota;Verrucomicrobiae;Pedosphaerales;Pedosphaeraceae;_68",0.4966
"Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Oxalobacteraceae;Collimonas;_1",0.4914
"Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;SC-I-84;_48",0.5042
"Bacteria;Verrucomicrobiota;Verrucomicrobiae;Pedosphaerales;Pedosphaeraceae;_69",0.5012
"Bacteria;_101",0.5142
"Bacteria;Verrucomicrobiota;Verrucomicrobiae;Chthoniobacterales;Terrimicrobiaceae;Terrimicrobium;_12",0.4944
"Bacteria;Planctomycetota;Planctomycetes;Pirellulales;Pirellulaceae;_108",0.5018
"Bacteria;Acidobacteriota;Acidobacteriae;Acidobacteriales;Acidobacteriaceae_(Subgroup_1);Occallatibacter;_6",0.4956
"Bacteria;Bdellovibrionota;Oligoflexia;0319-6G20;_17",0.4912
"Bacteria;Proteobacteria;Gammaproteobacteria;Methylococcales;Methylomonadaceae;Methylobacter;_5",0.5022
"Bacteria;Verrucomicrobiota;Verrucomicrobiae;Pedosphaerales;Pedosphaeraceae;_70",0.5048
"Bacteria;Fibrobacterota;Fibrobacteria;Fibrobacterales;_4",0.487
"Bacteria;Bdellovibrionota;Bdellovibrionia;Bdellovibrionales;Bdellovibrionaceae;OM27_clade;_1",0.4986
"Bacteria;Patescibacteria;Microgenomatia;Candidatus_Woykebacteria;_1",0.4994
"Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Xanthobacteraceae;_40",0.4936
"Bacteria;Actinobacteriota;Actinobacteria;Kineosporiales;Kineosporiaceae;_6",0.4946
"Bacteria;Proteobacteria;Gammaproteobacteria;Gammaproteobacteria_Incertae_Sedis;Unknown_Family;Acidibacter;_7",0.4948
"Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolineaceae;Leptolinea;_25",0.4876
"Bacteria;Chloroflexi;Anaerolineae;SBR1031;_93",0.4846
"Bacteria;Actinobacteriota;Acidimicrobiia;Microtrichales;Ilumatobacteraceae;CL500-29_marine_group;_10",0.5054
"Bacteria;Chloroflexi;Dehalococcoidia;_9",0.5054
"Bacteria;Chloroflexi;Dehalococcoidia;GIF3;_9",0.5002
"Bacteria;Acidobacteriota;Acidobacteriae;Subgroup_15;_1",0.5022
"Bacteria;Cyanobacteria;Cyanobacteriia;Chloroplast;_154",0.5028
"Bacteria;Actinobacteriota;Thermoleophilia;Gaiellales;_82",0.4838
"Bacteria;Nitrospirota;Thermodesulfovibrionia;_24",0.5008
"Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Corynebacteriaceae;Lawsonella;clevelandensis;_1",0.4964
"Bacteria;Verrucomicrobiota;Verrucomicrobiae;Opitutales;Opitutaceae;Diplosphaera;_1",0.5048
"Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;Mitochondria;_27",0.5016
"Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolineaceae;_209",0.5
"Bacteria;Nitrospirota;Thermodesulfovibrionia;_25",0.5024
"Bacteria;Planctomycetota;Planctomycetes;Gemmatales;Gemmataceae;Gemmata;_14",0.5036
"Bacteria;Verrucomicrobiota;Verrucomicrobiae;Pedosphaerales;Pedosphaeraceae;_71",0.4966
"Bacteria;Actinobacteriota;Thermoleophilia;Gaiellales;Gaiellaceae;Gaiella;_18",0.5052
"Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Pleomorphomonadaceae;_2",0.4984
"Bacteria;Proteobacteria;Gammaproteobacteria;Legionellales;Legionellaceae;Legionella;_58",0.4982
"Bacteria;Proteobacteria;Alphaproteobacteria;Micavibrionales;_5",0.5002
"Bacteria;Proteobacteria;Alphaproteobacteria;Acetobacterales;Acetobacteraceae;_42",0.4944
"Bacteria;Nitrospirota;Thermodesulfovibrionia;_26",0.494
"Bacteria;Spirochaetota;Leptospirae;Leptospirales;Leptospiraceae;RBG-16-49-21;_13",0.4988
"Bacteria;Myxococcota;Polyangia;Polyangiales;_3",0.5026
"Bacteria;Actinobacteriota;Thermoleophilia;Solirubrobacterales;_4",0.501
"Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;SB-5;_20",0.5016
"Bacteria;MBNT15;_25",0.4952
"Bacteria;Planctomycetota;Phycisphaerae;Tepidisphaerales;WD2101_soil_group;_25",0.4966
"Bacteria;Planctomycetota;Planctomycetes;Pirellulales;Pirellulaceae;_109",0.4976
"Bacteria;Bacteroidota;Kryptonia;Kryptoniales;BSV26;_70",0.4914
"Bacteria;Verrucomicrobiota;Verrucomicrobiae;Pedosphaerales;Pedosphaeraceae;Ellin516;_25",0.5072
"Bacteria;WS1;_11",0.5082
"Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Williamwhitmaniaceae;Blvii28_wastewater-sludge_group;_2",0.5072
"Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium_sensu_stricto_8;_2",0.4956
"Bacteria;Planctomycetota;Phycisphaerae;Tepidisphaerales;WD2101_soil_group;_26",0.5008
"Bacteria;Planctomycetota;Planctomycetes;Pirellulales;Pirellulaceae;_110",0.4982
"Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolineaceae;_210",0.49
"Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Blastomonas;_3",0.5044
"Bacteria;Proteobacteria;Alphaproteobacteria;Defluviicoccales;Defluviicoccaceae;Defluviicoccus;_25",0.4988
"Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;B1-7BS;_8",0.498
"Bacteria;Firmicutes;Bacilli;Paenibacillales;Paenibacillaceae;Paenibacillus;_11",0.4958
"Bacteria;MBNT15;_26",0.502
"Bacteria;Patescibacteria;Gracilibacteria;Candidatus_Peregrinibacteria;_2",0.4914
"Bacteria;_102",0.498
"Bacteria;Actinobacteriota;Thermoleophilia;Gaiellales;_83",0.4978
"Bacteria;Chloroflexi;Dehalococcoidia;661239;_2",0.4968
"Bacteria;Proteobacteria;Gammaproteobacteria;Competibacterales;Competibacteraceae;Candidatus_Contendobacter;_3",0.4962
"Bacteria;Proteobacteria;Alphaproteobacteria;Acetobacterales;Acetobacteraceae;_43",0.4894
"Bacteria;Armatimonadota;Chthonomonadetes;Chthonomonadales;_7",0.5104
"Bacteria;Acidobacteriota;Holophagae;Subgroup_7;_32",0.511
"Bacteria;Actinobacteriota;Acidimicrobiia;_19",0.5016
"Bacteria;Chloroflexi;Anaerolineae;RBG-13-54-9;_105",0.506
"Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolineaceae;_211",0.4972
"Bacteria;Actinobacteriota;Actinobacteria;Frankiales;Frankiaceae;Jatrophihabitans;_3",0.4902
"Bacteria;Cyanobacteria;Cyanobacteriia;Pseudanabaenales;Pseudanabaenaceae;Pseudanabaena_PCC-7429;_6",0.494
"Bacteria;WS2;_5",0.4992
"Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolineaceae;_212",0.4988
"Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;SM2D12;_13",0.5012
"Bacteria;Sva0485;_63",0.4952
"Bacteria;Proteobacteria;Gammaproteobacteria;Legionellales;Legionellaceae;Legionella;_59",0.4906
"Bacteria;Desulfobacterota;_29",0.501
"Bacteria;Planctomycetota;Planctomycetes;Gemmatales;Gemmataceae;_57",0.5
"Bacteria;Chloroflexi;Anaerolineae;Caldilineales;Caldilineaceae;_33",0.5
"Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Xanthobacteraceae;Pseudolabrys;_13",0.4914
"Bacteria;Planctomycetota;Planctomycetes;Pirellulales;Pirellulaceae;_111",0.5058
"Bacteria;Proteobacteria;Alphaproteobacteria;Micropepsales;Micropepsaceae;Rhizomicrobium;_3",0.4914
"Bacteria;Gemmatimonadota;Gemmatimonadetes;Gemmatimonadales;Gemmatimonadaceae;_24",0.4986
"Bacteria;Proteobacteria;Gammaproteobacteria;Methylococcales;Methylococcaceae;Methylocaldum;_12",0.5036
"Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolineaceae;Anaerolinea;_16",0.4872
"Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;A21b;_13",0.4902
"Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;_11",0.4982
"Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Chromobacteriaceae;Vogesella;indigofera;_1",0.496
"Bacteria;Planctomycetota;Planctomycetes;Pirellulales;Pirellulaceae;_112",0.5012
"Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;Mitochondria;_28",0.4906
"Bacteria;_103",0.4944
"Bacteria;Actinobacteriota;Actinobacteria;Frankiales;Acidothermaceae;Acidothermus;_8",0.509
"Bacteria;Zixibacteria;_7",0.4852
"Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiaceae;Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium;_12",0.5074
"Bacteria;Proteobacteria;Alphaproteobacteria;_35",0.5096
"Bacteria;Planctomycetota;Planctomycetes;Gemmatales;Gemmataceae;Gemmata;_15",0.488
"Bacteria;Proteobacteria;Gammaproteobacteria;Methylococcales;Methylococcaceae;Methylocaldum;_13",0.5132
"Bacteria;Chloroflexi;Anaerolineae;SBR1031;_94",0.493
"Bacteria;_104",0.5048
"Bacteria;Actinobacteriota;Acidimicrobiia;Microtrichales;Microtrichaceae;_6",0.4982
"Bacteria;Armatimonadota;DG-56;_5",0.4896
"Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;Rickettsiaceae;_6",0.5078
"Bacteria;Planctomycetota;Planctomycetes;Pirellulales;Pirellulaceae;_113",0.5026
"Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolineaceae;_213",0.5032
"Bacteria;Chloroflexi;Anaerolineae;RBG-13-54-9;_106",0.508
"Bacteria;Verrucomicrobiota;Verrucomicrobiae;Verrucomicrobiales;Verrucomicrobiaceae;_5",0.5006
"Bacteria;Chloroflexi;Dehalococcoidia;_10",0.4958
"Bacteria;Verrucomicrobiota;Verrucomicrobiae;Opitutales;Opitutaceae;Lacunisphaera;_6",0.5
"Bacteria;Bacteroidota;Bacteroidia;Sphingobacteriales;env.OPS_17;_13",0.5058
"Bacteria;Gemmatimonadota;Gemmatimonadetes;Gemmatimonadales;Gemmatimonadaceae;_25",0.4942
"Bacteria;Patescibacteria;Saccharimonadia;Saccharimonadales;_14",0.495
"Bacteria;Actinobacteriota;Thermoleophilia;Gaiellales;_84",0.501
"Bacteria;Verrucomicrobiota;Kiritimatiellae;WCHB1-41;_12",0.4946
"Bacteria;Actinobacteriota;Acidimicrobiia;Microtrichales;Iamiaceae;Iamia;_4",0.498
"Bacteria;Myxococcota;Polyangia;Haliangiales;Haliangiaceae;Haliangium;_29",0.494
"Bacteria;Spirochaetota;V2072-189E03;_3",0.4902
"Bacteria;Bacteroidota;Kryptonia;Kryptoniales;BSV26;_71",0.5062
"Bacteria;Proteobacteria;Gammaproteobacteria;EC3;_1",0.4998
"Bacteria;Myxococcota;Polyangia;Haliangiales;Haliangiaceae;Haliangium;_30",0.4808
"Bacteria;Acidobacteriota;Holophagae;Subgroup_7;_33",0.4954
"Bacteria;Bacteroidota;Bacteroidia;Sphingobacteriales;Lentimicrobiaceae;_26",0.5014
"Bacteria;Proteobacteria;Gammaproteobacteria;Legionellales;Legionellaceae;Legionella;_60",0.4928
"Bacteria;Actinobacteriota;Actinobacteria;Streptomycetales;Streptomycetaceae;Streptomyces;_4",0.5066
"Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;Caulobacter;_4",0.4996
"Bacteria;Firmicutes;Bacilli;Paenibacillales;Paenibacillaceae;Cohnella;soli;_1",0.5018
"Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiaceae;Mesorhizobium;_2",0.4948
"Bacteria;Verrucomicrobiota;Verrucomicrobiae;Opitutales;Opitutaceae;Opitutus;_7",0.5062
"Bacteria;Verrucomicrobiota;Verrucomicrobiae;S-BQ2-57_soil_group;_34",0.4992
"Bacteria;Verrucomicrobiota;Verrucomicrobiae;Opitutales;Opitutaceae;Lacunisphaera;_7",0.4878
"Bacteria;Proteobacteria;Alphaproteobacteria;Micavibrionales;Micavibrionaceae;_1",0.5132
"Bacteria;Acidobacteriota;Acidobacteriae;Bryobacterales;Bryobacteraceae;Bryobacter;_32",0.4966
"Bacteria;Zixibacteria;_8",0.4932
"Bacteria;Proteobacteria;Alphaproteobacteria;_36",0.496
"Bacteria;Actinobacteriota;MB-A2-108;_23",0.5028
"Bacteria;Acidobacteriota;Holophagae;Holophagales;Holophagaceae;_9",0.5106
"Bacteria;Actinobacteriota;Coriobacteriia;OPB41;_23",0.4908
"Bacteria;Chloroflexi;_23",0.5116
"Bacteria;Planctomycetota;Planctomycetes;Gemmatales;Gemmataceae;Gemmata;_16",0.5026
"Bacteria;Sva0485;_64",0.4962
"Bacteria;Actinobacteriota;Thermoleophilia;Gaiellales;_85",0.507
"Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Xanthobacteraceae;_41",0.4962
"Bacteria;Planctomycetota;Planctomycetes;Gemmatales;Gemmataceae;Gemmata;_17",0.4882
"Bacteria;Latescibacterota;_70",0.51
"Bacteria;Patescibacteria;Saccharimonadia;Saccharimonadales;WWH38;_2",0.5014
"Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;Mitochondria;_29",0.4872
"Bacteria;Desulfobacterota;Desulfobaccia;Desulfobaccales;Desulfobaccaceae;Desulfobacca;_19",0.4962
"Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium_sensu_stricto_8;_3",0.4918
"Bacteria;Verrucomicrobiota;Chlamydiae;Chlamydiales;Parachlamydiaceae;Candidatus_Protochlamydia;_6",0.506
"Bacteria;Poribacteria;_2",0.4978
"Bacteria;Bacteroidota;Kryptonia;Kryptoniales;BSV26;_72",0.507
"Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;_9",0.4974
"Bacteria;Myxococcota;Polyangia;Polyangiales;BIrii41;_8",0.5048
"Bacteria;Actinobacteriota;Acidimicrobiia;Microtrichales;Microtrichaceae;_7",0.505
"Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Peptostreptococcaceae;Paeniclostridium;ghonii;_1",0.4912
"Bacteria;Acidobacteriota;Vicinamibacteria;Subgroup_17;_31",0.5078
"Bacteria;Proteobacteria;Gammaproteobacteria;Coxiellales;Coxiellaceae;Coxiella;_3",0.5116
"Bacteria;Proteobacteria;Gammaproteobacteria;JG36-TzT-191;_5",0.5026
"Bacteria;Bacteroidota;Bacteroidia;Sphingobacteriales;_2",0.4974
"Bacteria;_105",0.5062
"Bacteria;Chloroflexi;Anaerolineae;1-20;_7",0.5064
"Bacteria;Proteobacteria;Alphaproteobacteria;Azospirillales;Azospirillaceae;_1",0.4932
"Bacteria;Chloroflexi;Dehalococcoidia;GIF9;_17",0.4948
"Bacteria;Desulfobacterota;Desulfobacteria;Desulfatiglandales;Desulfatiglandaceae;Desulfatiglans;_7",0.5116
"Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Nitrosomonadaceae;MND1;_5",0.4996
"Bacteria;Planctomycetota;Phycisphaerae;Tepidisphaerales;WD2101_soil_group;_27",0.491
"Bacteria;Fibrobacterota;Fibrobacteria;Fibrobacterales;_5",0.5026
"Bacteria;Planctomycetota;Planctomycetes;Gemmatales;Gemmataceae;_58",0.4946
"Bacteria;Planctomycetota;Phycisphaerae;Tepidisphaerales;CPla-3_termite_group;_5",0.4894
"Bacteria;Verrucomicrobiota;Verrucomicrobiae;Opitutales;Opitutaceae;Opitutus;_8",0.4938
"Bacteria;Chloroflexi;Anaerolineae;RBG-13-54-9;_107",0.4964
"Bacteria;_106",0.5
"Bacteria;Acidobacteriota;Acidobacteriae;Subgroup_13;_6",0.5056
"Bacteria;Planctomycetota;Phycisphaerae;Tepidisphaerales;WD2101_soil_group;_28",0.5088
"Bacteria;Acidobacteriota;Subgroup_18;_70",0.5136
"Bacteria;Acidobacteriota;Blastocatellia;Pyrinomonadales;Pyrinomonadaceae;RB41;_13",0.5046
"Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Mycobacteriaceae;Mycobacterium;_19",0.4956
"Bacteria;Acidobacteriota;Acidobacteriae;Subgroup_2;_21",0.4992
"Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Hyphomicrobiaceae;Hyphomicrobium;_20",0.4996
"Bacteria;Chloroflexi;KD4-96;_77",0.4954
"Bacteria;Chloroflexi;Dehalococcoidia;GIF3;_10",0.4906
"Bacteria;Verrucomicrobiota;Chlamydiae;Chlamydiales;Parachlamydiaceae;Candidatus_Protochlamydia;_7",0.4996
"Bacteria;Proteobacteria;Alphaproteobacteria;_37",0.503
"Bacteria;Planctomycetota;Planctomycetes;Pirellulales;Pirellulaceae;_114",0.4962
