"","Num_conv_gt_1.05","Num_conv_gt_1.1","Num_conv_gt_1.2","Num_conv_gt_1.5","Num_conv_gt_2","Num_params"
"Fungi;Ascomycota;Dothideomycetes;Capnodiales;Teratosphaeriaceae;Capnocheirides",68,68,68,0,0,69
"Fungi;Basidiomycota;Tremellomycetes;Holtermanniales;Holtermanniales_fam_Incertae_sedis;Holtermanniella;wattica",61,57,33,0,0,69
"Fungi;Ascomycota;Dothideomycetes;Pleosporales;Sporormiaceae",68,11,0,0,0,69
"Fungi;Ascomycota;Leotiomycetes;Helotiales;Dermateaceae;Laetinaevia",41,9,0,0,0,69
"Fungi;Ascomycota;Dothideomycetes;Capnodiales;Teratosphaeriaceae;Xenomeris",68,68,6,0,0,69
"Fungi;Ascomycota;Eurotiomycetes;Chaetothyriales;Herpotrichiellaceae;Cladophialophora",68,67,59,0,0,69
"Fungi;Basidiomycota;Tremellomycetes;Tremellales;Tremellaceae",68,65,9,0,0,69
"Fungi;Ascomycota;Leotiomycetes;Phacidiales;Phacidiaceae;Allantophomopsis;cytisporea",55,33,2,0,0,69
"Fungi;Basidiomycota;Tremellomycetes;Cystofilobasidiales;Mrakiaceae",7,2,0,0,0,69
"Fungi;Basidiomycota;Cystobasidiomycetes;Cystobasidiomycetes_ord_Incertae_sedis;Buckleyzymaceae;Buckleyzyma;aurantiaca",67,43,0,0,0,69
"Fungi;Ascomycota;Dothideomycetes;Capnodiales;Teratosphaeriaceae;Elasticomyces;elasticus",58,46,3,0,0,69
"Fungi;Ascomycota;Leotiomycetes;Erysiphales;Erysiphaceae;Blumeria;graminis",56,16,0,0,0,69
"Fungi;Ascomycota;Dothideomycetes;Pleosporales;Melanommataceae;Herpotrichia;juniperi",69,68,21,4,0,69
"Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium;decumbens",0,0,0,0,0,69
"Fungi;Ascomycota;Dothideomycetes;Pleosporales;Massarinaceae;Stagonospora;trichophoricola",31,10,1,0,0,69
"Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus;flavus",1,0,0,0,0,69
"Fungi;Basidiomycota;Agaricomycetes;Hymenochaetales;Schizoporaceae;Hyphodontia;pallidula",64,54,20,0,0,69
"Fungi;Ascomycota;Leotiomycetes;Helotiales;Helotiaceae;Tricladium;alaskense",5,1,0,0,0,69
"Fungi;Ascomycota;Dothideomycetes;Capnodiales",69,60,28,1,1,69
"Other",0,0,0,0,0,69
